Ensembl_Human	log2FoldChange	orig_padj_BH	orig_padj_bonf	re.estimated_pvalue	re.estimated_padj
ENSG00000166987	-0.133359901	0.546564786	1	0.667987549	0.988959025
ENSG00000175203	0.159703452	0.018022988	1	0.164243104	0.654715735
ENSG00000243725	0.157427051	0.126436623	1	0.339994859	0.867038064
ENSG00000166908	0.00779066	0.956554422	1	0.961680286	0.99957234
ENSG00000162399	4.25568348	0.307173475	NA	0.499395452	0.953109751
ENSG00000167216	-0.604925886	0.274639545	1	0.474011751	0.944233905
ENSG00000167220	-0.088373888	0.444554222	1	0.598656131	0.976511034
ENSG00000135439	-0.653199188	0.372813991	1	0.547931243	0.966486698
ENSG00000078043	-0.055950661	0.619238876	1	0.71798054	0.992642911
ENSG00000101638	0.176432012	NA	NA	0.974409362	0.99957234
ENSG00000141622	-0.117165133	0.884650424	1	0.906998721	0.998687018
ENSG00000152234	-0.182124004	0.168009832	1	0.382796335	0.894942677
ENSG00000152229	0.595882637	0.000558281	1	0.051740338	0.375736848
ENSG00000135407	-0.210909315	0.698602932	1	0.771236639	0.995548754
ENSG00000166896	-0.279981007	0.276645134	1	0.475555175	0.944997472
ENSG00000077254	-0.155029	0.052448465	1	0.240761212	0.77523353
ENSG00000074201	-0.055384429	0.828116515	1	0.864267949	0.996332353
ENSG00000172239	0.113767615	0.299531474	1	0.493398472	0.951569454
ENSG00000112992	-0.682511422	1.06e-11	4.14e-09	0.000292397	0.014138538
ENSG00000148832	0.510015807	0.013396047	1	0.148067521	0.625352289
ENSG00000127884	0.146897648	0.332409052	1	0.517931782	0.959846287
ENSG00000148803	0.390168732	0.03128442	1	0.199157907	0.718154547
ENSG00000130643	1.941908842	0.248868659	NA	0.453478782	0.934445138
ENSG00000198546	0.262155977	0.090507194	1	0.297384277	0.83153124
ENSG00000283496	0.262155977	0.090507194	1	0.297384277	0.83153124
ENSG00000151651	1.244416949	1.53e-07	0.000140977	0.004355151	0.089464352
ENSG00000130640	-0.116258402	0.406725849	1	0.57202824	0.972050144
ENSG00000197177	0.024104856	0.97303263	1	0.976209387	0.99957234
ENSG00000068383	0.044724846	0.824122879	1	0.860994488	0.996332353
ENSG00000151640	-3.386131799	0.004233369	1	0.099937818	0.523647466
ENSG00000130649	0.007064801	0.995672489	1	0.996323439	0.99957234
ENSG00000177951	-0.221040375	0.075407759	1	0.276708256	0.813193269
ENSG00000177963	0.076357661	0.40433994	1	0.57036994	0.971530217
ENSG00000142082	0.337069863	0.053644208	1	0.242944344	0.776769062
ENSG00000185627	0.055647494	0.806265003	1	0.848394546	0.996332353
ENSG00000206013	0.208921355	0.800272589	1	0.843848816	0.996332353
ENSG00000185885	0.011549902	0.989205361	1	0.989745763	0.99957234
ENSG00000185187	0.326863092	0.085021472	1	0.290305308	0.823985872
ENSG00000174915	0.14759133	0.171866566	1	0.386506667	0.897329322
ENSG00000069696	-2.92332882	1.94e-05	0.030951025	0.018166111	0.216289187
ENSG00000099834	1.000470827	NA	NA	0.693728647	0.990939738
ENSG00000185507	4.275777914	3.16e-07	0.000312232	0.005366004	0.102718817
ENSG00000174775	-0.029438737	0.904140566	1	0.920233594	0.99957234
ENSG00000185522	0.664150138	0.005010144	1	0.105838449	0.536513288
ENSG00000177156	0.144303112	0.544827964	1	0.66669657	0.988959025
ENSG00000177106	0.742164846	1.23e-08	8.59e-06	0.002098035	0.056633098
ENSG00000177042	-0.543217358	1.66e-08	1.2e-05	0.002287103	0.060097456
ENSG00000177595	-1.033093489	4.14e-08	3.32e-05	0.002984137	0.070458246
ENSG00000177600	0.083050809	0.645168945	1	0.734463603	0.995548754
ENSG00000177666	0.314999985	0.285346555	1	0.482415259	0.946804015
ENSG00000177697	0.439875226	8.82e-10	4.83e-07	0.000994656	0.034341268
ENSG00000214063	-0.151605419	0.43748073	1	0.593303877	0.976511034
ENSG00000177830	-0.113010912	0.448283743	1	0.601109435	0.977645271
ENSG00000170088	-0.04782607	0.755787816	1	0.81224437	0.995906554
ENSG00000155008	0.236743382	0.032429807	1	0.201725958	0.722523427
ENSG00000147180	-1.790425464	0.009474491	1	0.131398329	0.592607582
ENSG00000188419	-0.07542467	0.631497472	1	0.725666095	0.994363499
ENSG00000241258	-0.036208885	0.826397254	1	0.862623831	0.996332353
ENSG00000249319	0.156213981	0.264343789	1	0.465857972	0.940732837
ENSG00000169919	-0.909454467	0.000372917	0.910428272	0.045460493	0.352780779
ENSG00000164776	-0.403492846	0.324536039	1	0.512124407	0.957982937
ENSG00000129103	-0.178296971	0.270125469	1	0.470557047	0.942163699
ENSG00000125304	0.048718547	0.690874256	1	0.766299372	0.995548754
ENSG00000125246	1.024446046	2.17e-09	1.29e-06	0.00128205	0.040954055
ENSG00000102466	-1.956289838	0.096247244	NA	0.304615497	0.838613234
ENSG00000152767	0.048536646	0.774403334	1	0.824936008	0.996332353
ENSG00000088386	0.427313991	0.153759472	1	0.369108661	0.884895639
ENSG00000088387	-0.035144653	0.819719323	1	0.857605241	0.996332353
ENSG00000078687	-0.360590812	0.064425434	1	0.260445747	0.796201871
ENSG00000141524	0.159647049	0.230359716	1	0.438283999	0.927042152
ENSG00000167900	-0.995415785	0.000889968	1	0.059902573	0.40872313
ENSG00000171302	-0.051051182	0.635368505	1	0.728191252	0.995055327
ENSG00000173894	0.256856269	0.241068279	1	0.447226545	0.930890516
ENSG00000141570	0.168563322	0.264300617	1	0.465800802	0.940732837
ENSG00000171298	-0.147190154	0.40529725	1	0.570954093	0.971530217
ENSG00000171246	-2.407262835	8.18e-08	7.08e-05	0.003635786	0.079712548
ENSG00000141564	0.29989089	0.036597604	1	0.21077652	0.735784767
